,ID,Year,Fall,Name,Nametype,Mass,Latitude,Longitude
0,1,1880-01-01T00:00:00.000,Fell,Aachen,Valid,21,50.775000,6.083330
1,2,1951-01-01T00:00:00.000,Fell,Aarhus,Valid,720,56.183330,10.233330
2,6,1952-01-01T00:00:00.000,Fell,Abee,Valid,107000,54.216670,-113.000000
3,10,1976-01-01T00:00:00.000,Fell,Acapulco,Valid,1914,16.883330,-99.900000
4,370,1902-01-01T00:00:00.000,Fell,Achiras,Valid,780,-33.166670,-64.950000
5,379,1919-01-01T00:00:00.000,Fell,Adhi Kot,Valid,4239,32.100000,71.800000
6,390,1949-01-01T00:00:00.000,Fell,Adzhi-Bogdo (stone),Valid,910,44.833330,95.166670
7,392,1814-01-01T00:00:00.000,Fell,Agen,Valid,30000,44.216670,0.616670
8,398,1930-01-01T00:00:00.000,Fell,Aguada,Valid,1620,-31.600000,-65.233330
9,417,1920-01-01T00:00:00.000,Fell,Aguila Blanca,Valid,1440,-30.866670,-64.550000
10,423,1974-01-01T00:00:00.000,Fell,Aioun el Atrouss,Valid,1000,16.398060,-9.570280
11,424,1925-01-01T00:00:00.000,Fell,Aïr,Valid,24000,19.083330,8.383330
12,425,1769-01-01T00:00:00.000,Fell,Aire-sur-la-Lys,Valid,,50.666670,2.333330
13,426,1949-01-01T00:00:00.000,Fell,Akaba,Valid,779,29.516670,35.050000
14,427,1838-01-01T00:00:00.000,Fell,Akbarpur,Valid,1800,29.716670,77.950000
15,432,1959-01-01T00:00:00.000,Fell,Akwanga,Valid,3000,8.916670,8.433330
16,433,1981-01-01T00:00:00.000,Fell,Akyumak,Valid,50000,39.916670,42.816670
17,446,1957-01-01T00:00:00.000,Fell,Al Rais,Valid,160,24.416670,39.516670
18,447,2001-01-01T00:00:00.000,Fell,Al Zarnkh,Valid,700,13.660330,28.960000
19,448,1806-01-01T00:00:00.000,Fell,Alais,Valid,6000,44.116670,4.083330
20,453,1766-01-01T00:00:00.000,Fell,Albareto,Valid,2000,44.650000,11.016670
21,454,1949-01-01T00:00:00.000,Fell,Alberta,Valid,625,2.000000,22.666670
22,458,2002-01-01T00:00:00.000,Fell,Alby sur Chéran,Valid,252,45.821330,6.015330
23,461,1835-01-01T00:00:00.000,Fell,Aldsworth,Valid,700,51.783330,-1.783330
24,462,1873-01-01T00:00:00.000,Fell,Aleppo,Valid,3200,36.233330,37.133330
25,463,1860-01-01T00:00:00.000,Fell,Alessandria,Valid,908,44.883330,8.750000
26,465,1900-01-01T00:00:00.000,Fell,Alexandrovsky,Valid,9251,50.950000,31.816670
27,466,1883-01-01T00:00:00.000,Fell,Alfianello,Valid,228000,45.266670,10.150000
28,2276,1899-01-01T00:00:00.000,Fell,Allegan,Valid,32000,42.533330,-85.883330
29,2278,1969-01-01T00:00:00.000,Fell,Allende,Valid,2000000,26.966670,-105.316670
30,48915,2008-01-01T00:00:00.000,Fell,Almahata Sitta,Valid,3950,20.745750,32.412750
31,2284,1977-01-01T00:00:00.000,Fell,Alta'ameem,Valid,6000,35.273330,44.215560
32,2290,1895-01-01T00:00:00.000,Fell,Ambapur Nagla,Valid,6400,27.666670,78.250000
33,2294,1880-01-01T00:00:00.000,Fell,Andhara,Valid,2700,26.583330,85.566670
34,2295,1898-01-01T00:00:00.000,Fell,Andover,Valid,3200,44.616670,-70.750000
35,2296,1969-01-01T00:00:00.000,Fell,Andreevka,Valid,600,48.700000,37.500000
36,2298,1939-01-01T00:00:00.000,Fell,Andura,Valid,17900,20.883330,76.866670
37,50693,,Found,Northwest Africa 5815,Valid,256.8,0.000000,0.000000
38,2301,1822-01-01T00:00:00.000,Fell,Angers,Valid,,47.466670,-0.550000
39,2302,1869-01-01T00:00:00.000,Fell,Angra dos Reis (stone),Valid,1500,-22.966670,-44.316670
40,2304,1942-01-01T00:00:00.000,Fell,Ankober,Valid,6500,9.533330,39.716670
41,2305,1971-01-01T00:00:00.000,Fell,Anlong,Valid,2500,25.150000,105.183330
42,2313,1984-01-01T00:00:00.000,Fell,Aomori,Valid,320,40.810560,140.785560
43,2318,1914-01-01T00:00:00.000,Fell,Appley Bridge,Valid,15000,53.583330,-2.716670
44,2320,1803-01-01T00:00:00.000,Fell,Apt,Valid,3200,43.866670,5.383330
45,2325,1954-01-01T00:00:00.000,Fell,Arbol Solo,Valid,810,-33.000000,-66.000000
46,2329,1932-01-01T00:00:00.000,Fell,Archie,Valid,5070,38.500000,-94.300000
47,2340,1950-01-01T00:00:00.000,Fell,Arroyo Aguiar,Valid,7450,-31.416670,-60.666670
48,2345,1805-01-01T00:00:00.000,Fell,Asco,Valid,41,42.450000,9.033330
49,48954,2009-01-01T00:00:00.000,Fell,Ash Creek,Valid,9500,31.805000,-97.010000
50,2346,1923-01-01T00:00:00.000,Fell,Ashdon,Valid,1300,52.050000,0.300000
51,2353,1886-01-01T00:00:00.000,Fell,Assisi,Valid,2000,43.033330,12.550000
52,4883,1920-01-01T00:00:00.000,Fell,Atarra,Valid,1280,25.254170,80.625000
53,4884,1896-01-01T00:00:00.000,Fell,Atemajac,Valid,94.2,20.066670,-103.666670
54,4885,1933-01-01T00:00:00.000,Fell,Athens,Valid,265,34.750000,-87.000000
55,4888,1945-01-01T00:00:00.000,Fell,Atoka,Valid,1384.2,34.316670,-96.150000
56,4893,1836-01-01T00:00:00.000,Fell,Aubres,Valid,800,44.383330,5.166670
57,4899,1865-01-01T00:00:00.000,Fell,Aumale,Valid,50000,36.166670,3.666670
58,4900,1842-01-01T00:00:00.000,Fell,Aumieres,Valid,2000,44.333330,3.233330
59,4903,1858-01-01T00:00:00.000,Fell,Ausson,Valid,50000,43.083330,0.583330
60,4905,1952-01-01T00:00:00.000,Fell,Avanhandava,Valid,9330,-21.460280,-49.950830
61,4906,1908-01-01T00:00:00.000,Fell,Avce,Valid,1230,46.000000,13.500000
62,4907,1855-01-01T00:00:00.000,Fell,Avilez,Valid,146,25.000000,-103.500000
63,4910,1968-01-01T00:00:00.000,Fell,Awere,Valid,134,2.716670,32.833330
64,4913,1938-01-01T00:00:00.000,Fell,Aztec,Valid,2830,36.800000,-108.000000
65,4917,1814-01-01T00:00:00.000,Fell,Bachmut,Valid,18000,48.600000,38.000000
66,4922,1934-01-01T00:00:00.000,Fell,Bahjoi,Valid,10322,28.483330,78.500000
67,4925,1929-01-01T00:00:00.000,Fell,Bald Mountain,Valid,3700,35.966670,-82.483330
68,4926,1922-01-01T00:00:00.000,Fell,Baldwyn,Valid,345,34.500000,-88.666670
69,4928,1907-01-01T00:00:00.000,Fell,Bali,Valid,1000,5.383330,16.383330
70,4934,1993-01-01T00:00:00.000,Fell,Ban Rong Du,Valid,16700,16.666670,101.183330
71,4935,1871-01-01T00:00:00.000,Fell,Bandong,Valid,11500,-6.916670,107.600000
72,4936,1892-01-01T00:00:00.000,Fell,Bansur,Valid,15000,27.700000,76.333330
73,4937,1913-01-01T00:00:00.000,Fell,Banswal,Valid,14,30.400000,78.200000
74,4938,1933-01-01T00:00:00.000,Fell,Banten,Valid,629,-6.333330,106.000000
75,4942,1790-01-01T00:00:00.000,Fell,Barbotan,Valid,6400,43.950000,-0.050000
76,4944,1704-01-01T00:00:00.000,Fell,Barcelona (stone),Valid,,41.366670,2.166670
77,4946,1842-01-01T00:00:00.000,Fell,Barea,Valid,3200,42.383330,-2.500000
78,4947,1904-01-01T00:00:00.000,Fell,Barnaul,Valid,23.2,52.733330,84.083330
79,4948,1886-01-01T00:00:00.000,Fell,Barntrup,Valid,17,52.000000,9.100000
80,4949,1910-01-01T00:00:00.000,Fell,Baroti,Valid,4500,31.616670,76.800000
81,4954,1965-01-01T00:00:00.000,Fell,Barwell,Valid,44000,52.565280,-1.339720
82,44876,2006-01-01T00:00:00.000,Fell,Bassikounou,Valid,29560,15.783330,-5.900000
83,4957,1994-01-01T00:00:00.000,Fell,Baszkówka,Valid,15500,52.033330,20.935830
84,4974,1892-01-01T00:00:00.000,Fell,Bath,Valid,21000,45.416670,-98.316670
85,4975,1902-01-01T00:00:00.000,Fell,Bath Furnace,Valid,86000,38.250000,-83.750000
86,56133,2012-01-01T00:00:00.000,Fell,Battle Mountain,Valid,2900,40.668130,-117.189130
87,4976,1989-01-01T00:00:00.000,Fell,Bawku,Valid,1557,11.083330,-0.183330
88,4977,1916-01-01T00:00:00.000,Fell,Baxter,Valid,611,36.750000,-93.500000
89,4984,1929-01-01T00:00:00.000,Fell,Beardsley,Valid,16000,39.800000,-101.200000
90,4986,1893-01-01T00:00:00.000,Fell,Beaver Creek,Valid,14000,51.166670,-117.333330
91,4993,1949-01-01T00:00:00.000,Fell,Beddgelert,Valid,794,53.016670,-4.100000
92,5005,1961-01-01T00:00:00.000,Fell,Bells,Valid,375,33.600000,-96.466670
93,5009,1937-01-01T00:00:00.000,Fell,Belville,Valid,,-32.333330,-64.866670
94,5011,1798-01-01T00:00:00.000,Fell,Benares (a),Valid,3700,25.366670,82.916670
95,30443,2004-01-01T00:00:00.000,Fell,Benguerir,Valid,25000,32.250000,-8.150000
96,5018,2001-01-01T00:00:00.000,Fell,Beni M'hira,Valid,19000,32.866670,10.800000
97,5021,1938-01-01T00:00:00.000,Fell,Benld,Valid,1770.5,39.083330,-89.150000
98,5023,1943-01-01T00:00:00.000,Fell,Benoni,Valid,3880,-26.166670,28.416670
99,5024,2002-01-01T00:00:00.000,Fell,Bensour,Valid,45000,30.000000,-7.000000
100,5026,1949-01-01T00:00:00.000,Fell,Benton,Valid,2840,45.950000,-67.550000
101,48975,2008-01-01T00:00:00.000,Fell,Berduc,Valid,270,-31.910000,-58.328330
102,5028,1924-01-01T00:00:00.000,Fell,Béréba,Valid,18000,11.650000,-3.650000
103,5029,1811-01-01T00:00:00.000,Fell,Berlanguillas,Valid,1440,41.683330,-3.800000
104,47355,2004-01-01T00:00:00.000,Fell,Berthoud,Valid,960,40.305830,-105.023250
105,5032,1859-01-01T00:00:00.000,Fell,Bethlehem,Valid,13.9,42.533330,-73.833330
106,5034,1859-01-01T00:00:00.000,Fell,Beuste,Valid,2000,43.216670,-0.233330
107,5035,1921-01-01T00:00:00.000,Fell,Beyrout,Valid,1100,33.883330,35.500000
108,5037,1877-01-01T00:00:00.000,Fell,Bhagur,Valid,18,20.883330,74.833330
109,36591,2002-01-01T00:00:00.000,Fell,Bhawad,Valid,678,26.508330,73.115280
110,5039,1893-01-01T00:00:00.000,Fell,Bherai,Valid,100,20.833330,71.466670
111,5040,1940-01-01T00:00:00.000,Fell,Bhola,Valid,1047,22.683330,90.650000
112,5041,1905-01-01T00:00:00.000,Fell,Bholghati,Valid,2500,22.083330,86.900000
113,5042,1827-01-01T00:00:00.000,Fell,Bialystok,Valid,4000,53.100000,23.200000
114,5043,1887-01-01T00:00:00.000,Fell,Bielokrynitschie,Valid,1900,50.133330,27.166670
115,5045,1999-01-01T00:00:00.000,Fell,Bilanga,Valid,25000,12.450000,-0.083330
116,5051,1984-01-01T00:00:00.000,Fell,Binningup,Valid,488.1,-33.156390,115.676390
117,5056,1923-01-01T00:00:00.000,Fell,Birni N'konni,Valid,560,13.766670,5.300000
118,5059,1843-01-01T00:00:00.000,Fell,Bishopville,Valid,6000,34.166670,-80.283330
119,5060,1895-01-01T00:00:00.000,Fell,Bishunpur,Valid,1039,25.383330,82.600000
120,5063,1796-01-01T00:00:00.000,Fell,Bjelaja Zerkov,Valid,1850,49.783330,30.166670
121,5064,1899-01-01T00:00:00.000,Fell,Bjurböle,Valid,330000,60.400000,25.800000
122,5065,1941-01-01T00:00:00.000,Fell,Black Moshannan Park,Valid,705,40.916670,-78.083330
123,5068,1906-01-01T00:00:00.000,Fell,Blackwell,Valid,2381,36.833330,-97.333330
124,5071,1909-01-01T00:00:00.000,Fell,Blanket,Valid,5100,31.833330,-98.833330
125,5072,1833-01-01T00:00:00.000,Fell,Blansko,Valid,470,49.366670,16.633330
126,5076,1938-01-01T00:00:00.000,Fell,Bloomington,Valid,67.8,40.480000,-89.004170
127,5090,1977-01-01T00:00:00.000,Fell,Bo Xian,Valid,7500,33.833330,115.833330
128,5093,1804-01-01T00:00:00.000,Fell,Bocas,Valid,56,23.000000,-102.000000
129,5097,1962-01-01T00:00:00.000,Fell,Bogou,Valid,8800,12.500000,0.700000
130,5098,1916-01-01T00:00:00.000,Fell,Boguslavka,Valid,256000,44.550000,131.633330
131,5110,1808-01-01T00:00:00.000,Fell,Borgo San Donino,Valid,1676,44.866670,10.050000
132,5111,1894-01-01T00:00:00.000,Fell,Bori,Valid,8600,21.950000,78.033330
133,5112,1930-01-01T00:00:00.000,Fell,Boriskino,Valid,1342,54.233330,52.483330
134,5113,1852-01-01T00:00:00.000,Fell,Borkut,Valid,7000,48.150000,24.283330
135,5114,1812-01-01T00:00:00.000,Fell,Borodino,Valid,500,55.466670,35.866670
136,5117,1823-01-01T00:00:00.000,Fell,Botschetschki,Valid,614,51.333330,33.883330
137,57168,2003-01-01T00:00:00.000,Fell,Boumdeid (2003),Valid,190,17.710670,-11.371500
138,57167,2011-01-01T00:00:00.000,Fell,Boumdeid (2011),Valid,3599,17.174930,-11.341330
139,5121,1969-01-01T00:00:00.000,Fell,Bovedy,Valid,5460,54.566670,-6.333330
140,5128,1886-01-01T00:00:00.000,Fell,Bradford Woods,Valid,762,40.500000,-80.083330
141,5133,1847-01-01T00:00:00.000,Fell,Braunau,Valid,39000,50.600000,16.300000
142,5134,1956-01-01T00:00:00.000,Fell,Breitscheid,Valid,1500,50.666940,8.183610
143,5135,1855-01-01T00:00:00.000,Fell,Bremervörde,Valid,7250,53.400000,9.100000
144,5140,1933-01-01T00:00:00.000,Fell,Brient,Valid,219,52.133330,59.316670
145,5156,1960-01-01T00:00:00.000,Fell,Bruderheim,Valid,303000,53.900000,-112.883330
146,30448,2001-01-01T00:00:00.000,Fell,Bukhara,Valid,5300,39.779780,64.600350
147,5163,1964-01-01T00:00:00.000,Fell,Bulls Run,Valid,2250,,
148,48653,2007-01-01T00:00:00.000,Fell,Bunburra Rockhole,Valid,324,-31.350000,129.190000
149,5165,1942-01-01T00:00:00.000,Fell,Bununu,Valid,357,10.016670,9.583330
150,5169,1919-01-01T00:00:00.000,Fell,Bur-Gheluai,Valid,120000,5.000000,48.000000
151,5175,1990-01-01T00:00:00.000,Fell,Burnwell,Valid,1504,37.621940,-82.237220
152,5177,1946-01-01T00:00:00.000,Fell,Bursa,Valid,25000,40.200000,29.233330
153,5178,1863-01-01T00:00:00.000,Fell,Buschhof,Valid,5000,46.450000,25.783330
154,5181,1852-01-01T00:00:00.000,Fell,Bustee,Valid,1500,26.783330,82.833330
155,5183,1861-01-01T00:00:00.000,Fell,Butsura,Valid,29000,27.083330,84.083330
156,48654,2008-01-01T00:00:00.000,Fell,Buzzard Coulee,Valid,41000,52.996000,-109.848170
157,5185,1870-01-01T00:00:00.000,Fell,Cabezo de Mayo,Valid,25000,37.983330,-1.166670
158,5186,1886-01-01T00:00:00.000,Fell,Cabin Creek,Valid,48500,35.500000,-93.500000
159,5187,1919-01-01T00:00:00.000,Fell,Cacak,Valid,212,43.838890,20.333330
160,45976,2007-01-01T00:00:00.000,Fell,Cali,Valid,478,3.405000,-76.510000
161,5200,1916-01-01T00:00:00.000,Fell,Calivo,Valid,2400,11.750000,122.333330
162,5249,1991-01-01T00:00:00.000,Fell,Campos Sales,Valid,23680,-7.033330,-40.166670
163,5250,1964-01-01T00:00:00.000,Fell,Çanakkale,Valid,4000,39.800000,26.600000
164,5251,1861-01-01T00:00:00.000,Fell,Cañellas,Valid,945,41.250000,1.666670
165,5252,1866-01-01T00:00:00.000,Fell,Cangas de Onis,Valid,34000,43.383330,-5.150000
166,5253,1973-01-01T00:00:00.000,Fell,Canon City,Valid,1400,38.470280,-105.241390
167,5260,1846-01-01T00:00:00.000,Fell,Cape Girardeau,Valid,2300,37.266670,-89.583330
168,5264,1934-01-01T00:00:00.000,Fell,Capilla del Monte,Valid,750,-30.883330,-64.550000
169,45817,2007-01-01T00:00:00.000,Fell,Carancas,Valid,342,-16.664440,-69.043890
170,5265,1902-01-01T00:00:00.000,Fell,Caratash,Valid,8,38.500000,27.000000
171,5291,1874-01-01T00:00:00.000,Fell,Castalia,Valid,7300,36.083330,-78.066670
172,5292,1791-01-01T00:00:00.000,Fell,Castel Berardenga,Valid,,43.350000,11.500000
173,5293,1848-01-01T00:00:00.000,Fell,Castine,Valid,94,44.383330,-68.750000
174,5295,1583-01-01T00:00:00.000,Fell,Castrovillari,Valid,15000,39.800000,16.200000
175,5296,1810-01-01T00:00:00.000,Fell,Caswell County,Valid,1360,36.500000,-79.250000
176,5306,1988-01-01T00:00:00.000,Fell,Ceniceros,Valid,1025,26.466670,-105.233330
177,5307,1956-01-01T00:00:00.000,Fell,Centerville,Valid,45.6,43.200000,-96.916670
178,5308,1840-01-01T00:00:00.000,Fell,Cereseto,Valid,6460,45.083330,8.300000
179,5313,1998-01-01T00:00:00.000,Fell,Chadong,Valid,3700,28.533330,109.316670
180,5314,1814-01-01T00:00:00.000,Fell,Chail,Valid,0.5,25.366670,81.666670
181,5315,1907-01-01T00:00:00.000,Fell,Chainpur,Valid,8200,25.850000,83.483330
182,5316,1933-01-01T00:00:00.000,Fell,Chajari,Valid,18300,-30.783330,-58.050000
183,5320,1838-01-01T00:00:00.000,Fell,Chandakapur,Valid,8800,20.266670,76.016670
184,5321,1885-01-01T00:00:00.000,Fell,Chandpur,Valid,1100,27.283330,79.050000
185,5322,1977-01-01T00:00:00.000,Fell,Changde,Valid,1810,29.083330,111.750000
186,5325,1812-01-01T00:00:00.000,Fell,Chantonnay,Valid,31500,46.683330,1.050000
187,5328,1835-01-01T00:00:00.000,Fell,Charlotte,Valid,4300,36.166670,-87.333330
188,5329,1810-01-01T00:00:00.000,Fell,Charsonville,Valid,27000,47.933330,1.566670
189,5330,1834-01-01T00:00:00.000,Fell,Charwallas,Valid,12000,29.483330,75.500000
190,5331,1815-01-01T00:00:00.000,Fell,Chassigny,Valid,4000,47.716670,5.366670
191,5332,1841-01-01T00:00:00.000,Fell,Château-Renard,Valid,30000,47.933330,2.916670
192,5334,1925-01-01T00:00:00.000,Fell,Chaves,Valid,2945,41.933330,-7.466670
193,5338,1988-01-01T00:00:00.000,Fell,Chela,Valid,2936,-3.666670,32.500000
194,57165,2013-01-01T00:00:00.000,Fell,Chelyabinsk,Valid,100000,54.816670,61.116670
195,47347,2007-01-01T00:00:00.000,Fell,Chergach ,Valid,100000,23.696390,-5.014720
196,5339,1964-01-01T00:00:00.000,Fell,Chernyi Bor,Valid,6000,53.700000,30.100000
197,5340,1933-01-01T00:00:00.000,Fell,Cherokee Springs,Valid,8400,35.033330,-81.883330
198,5341,1901-01-01T00:00:00.000,Fell,Chervettaz,Valid,705,46.550000,6.816670
199,5342,1939-01-01T00:00:00.000,Fell,Chervony Kut,Valid,1700,50.833330,34.000000
200,5344,1880-01-01T00:00:00.000,Fell,Chetrinahatti,Valid,72,14.500000,76.500000
201,5345,1981-01-01T00:00:00.000,Fell,Chiang Khan,Valid,367,17.900000,101.633330
202,5349,1938-01-01T00:00:00.000,Fell,Chicora,Valid,303,40.933330,-79.733330
203,5355,1988-01-01T00:00:00.000,Fell,Chisenga,Valid,3920,-10.059440,33.395000
204,5356,1966-01-01T00:00:00.000,Fell,Chitado,Valid,,-17.350000,13.966670
205,5357,1978-01-01T00:00:00.000,Fell,Chitenay,Valid,4000,47.470830,0.976670
206,5364,1979-01-01T00:00:00.000,Fell,Cilimus,Valid,1600,-6.950000,108.100000
207,5374,1984-01-01T00:00:00.000,Fell,Claxton,Valid,1455,32.102500,-81.872780
208,5383,1822-01-01T00:00:00.000,Fell,Clohars,Valid,48.6,,
209,5395,1917-01-01T00:00:00.000,Fell,Colby (Wisconsin),Valid,104000,44.900000,-90.283330
210,5397,1838-01-01T00:00:00.000,Fell,Cold Bokkeveld,Valid,5200,-33.133330,19.383330
211,5401,1994-01-01T00:00:00.000,Fell,Coleman,Valid,469,43.761110,-84.507780
212,5403,1890-01-01T00:00:00.000,Fell,Collescipoli,Valid,5000,42.533330,12.616670
213,5418,1965-01-01T00:00:00.000,Fell,Conquista,Valid,20350,-19.850000,-47.550000
214,5451,1844-01-01T00:00:00.000,Fell,Cosina,Valid,1200,21.166670,-100.866670
215,5465,1917-01-01T00:00:00.000,Fell,Cranganore,Valid,1460,10.200000,76.266670
216,5470,1936-01-01T00:00:00.000,Fell,Crescent,Valid,78.400000000000006,35.950000,-97.583330
217,5474,1877-01-01T00:00:00.000,Fell,Cronstad,Valid,3650,-27.700000,27.300000
218,5476,1892-01-01T00:00:00.000,Fell,Cross Roads,Valid,167,35.633330,-78.133330
219,5477,1902-01-01T00:00:00.000,Fell,Crumlin,Valid,4255,54.616670,-6.216670
220,5496,1919-01-01T00:00:00.000,Fell,Cumberland Falls,Valid,17000,36.833330,-84.350000
221,5500,1877-01-01T00:00:00.000,Fell,Cynthiana,Valid,6000,38.400000,-84.250000
222,5504,1981-01-01T00:00:00.000,Fell,Dahmani,Valid,18000,35.616670,8.833330
223,5511,1878-01-01T00:00:00.000,Fell,Dandapur,Valid,5650,26.916670,83.966670
224,5513,1868-01-01T00:00:00.000,Fell,Daniel's Kuil,Valid,1064,-28.200000,24.566670
225,5514,1868-01-01T00:00:00.000,Fell,Danville,Valid,2000,34.400000,-87.066670
226,6603,1804-01-01T00:00:00.000,Fell,Darmstadt,Valid,100,49.866670,8.650000
227,6604,1998-01-01T00:00:00.000,Fell,Dashoguz,Valid,7000,41.984440,59.685000
228,51559,2008-01-01T00:00:00.000,Fell,Daule,Valid,6580,-1.870890,-79.957560
229,6621,1887-01-01T00:00:00.000,Fell,De Cewsville,Valid,340,43.000000,-80.000000
230,6634,1829-01-01T00:00:00.000,Fell,Deal,Valid,28,40.250000,-74.000000
231,6642,1897-01-01T00:00:00.000,Fell,Delhi,Valid,0.8,28.566670,77.250000
232,6649,1911-01-01T00:00:00.000,Fell,Demina,Valid,16400,51.466670,84.766670
233,6660,1967-01-01T00:00:00.000,Fell,Denver,Valid,230,39.782500,-104.930560
234,6664,2001-01-01T00:00:00.000,Fell,Dergaon,Valid,12500,26.683330,93.866670
235,6693,1962-01-01T00:00:00.000,Fell,Desuri,Valid,25400,25.733330,73.616670
236,6694,2001-01-01T00:00:00.000,Fell,Devgaon,Valid,12000,19.000000,81.000000
237,6696,1994-01-01T00:00:00.000,Fell,Devri-Khera,Valid,1140,24.225000,76.525000
238,6698,1976-01-01T00:00:00.000,Fell,Dhajala,Valid,45000,22.377780,71.427220
239,6699,1848-01-01T00:00:00.000,Fell,Dharwar,Valid,1800,14.883330,75.600000
240,7640,1860-01-01T00:00:00.000,Fell,Dhurmsala,Valid,32000,32.233330,76.466670
241,47350,2007-01-01T00:00:00.000,Fell,Didim,Valid,3396,37.351720,27.329970
242,7642,1906-01-01T00:00:00.000,Fell,Diep River,Valid,1000,-33.750000,18.566670
243,7649,1957-01-01T00:00:00.000,Fell,Distrito Quebracho,Valid,400,-31.883330,-60.466670
244,7652,1884-01-01T00:00:00.000,Fell,Djati-Pengilon,Valid,166000,-7.500000,111.500000
245,7656,1961-01-01T00:00:00.000,Fell,Djermaia,Valid,3950,12.733330,15.050000
246,7657,1999-01-01T00:00:00.000,Fell,Djoumine,Valid,10000,36.950000,9.550000
247,7658,1903-01-01T00:00:00.000,Fell,Dokachi,Valid,3840,23.500000,90.333330
248,7659,1864-01-01T00:00:00.000,Fell,Dolgovoli,Valid,1600,50.750000,25.300000
249,7661,1907-01-01T00:00:00.000,Fell,Domanitch,Valid,438,40.000000,29.000000
250,7706,1995-01-01T00:00:00.000,Fell,Dong Ujimqin Qi,Valid,128800,45.500000,119.033330
251,7707,1899-01-01T00:00:00.000,Fell,Donga Kohrod,Valid,230,21.866670,82.450000
